values1,multiplier5,selector5,multiplier6,selector6,multiplier7,selector7,multiplier8,selector8,multiplier1,selector1,multiplier2,selector2,multiplier3,selector3,multiplier4,selector4
,43.0,Endgame Points,,,,,,,,,,,,,,
,,,43.0,AUTO points,,,,,,,,,,,,
,,,,,234.0,Endgame Points,,,,,,,,,,
,,,,,,,6.0,Climb,,,,,,,,
,,,,,,,,,5.0,auto climb,,auto points,,auto points,,auto points
,,,,,,,,,,,33.0,,,,,
,,,,,,,,,56.0,,,,,,,
,,,,,,,,,gooning,,,,,,,
,,,,,,,,,10,,,,,,,
,,,,,,,,,10,,,,,,,
,,,,,,,,,10,,,,,,,
,,,,,,,,,10,,,,,,,
,,,,,,,,,10,,,,,,,
,,,,,,,,,10,,,,,,,
,,,,,,,,,10,,,,,,,
,1.0,,1.0,,,,,,1,,1.0,,1.0,,1.0,
,2.0,,2.0,,,,,,12,,12.0,,22.0,,2.0,
,2.0,,2.0,,,,,,12,,12.0,,22.0,,2.0,
,2.0,,2.0,,,,,,12,,12.0,,22.0,,2.0,
,1.0,,1.0,,,,,,1,,12.0,,1.0,,1.0,
,1.0,,1.0,,,,,,1,,12.0,,1.0,,1.0,
,1.0,,1.0,,,,,,1,,12.0,,1.0,,1.0,
,1.0,,1.0,,,,,,1,,12.0,,1.0,,1.0,
,1.0,,1.0,,,,,,1,,12.0,,1.0,,1.0,
,1.0,,1.0,,,,,,1,,12.0,,1.0,,1.0,
,1.0,,1.0,,,,,,1,,12.0,,1.0,,1.0,
,1.0,,1.0,,,,,,1,,5.0,,1.0,,1.0,
,1.0,,1.0,,,,,,1,,5.0,,1.0,,1.0,
,2.0,,1.0,,,,,,12,,5.0,,2.0,,2.0,
,2.0,,1.0,,,,,,12,,5.0,,2.0,,2.0,
,2.0,,1.0,,,,,,12,,5.0,,2.0,,2.0,
,2.0,,1.0,,,,,,12,,5.0,,2.0,,2.0,
,2.0,,1.0,,,,,,12,,5.0,,2.0,,2.0,
,2.0,,1.0,,,,,,12,,5.0,,2.0,,2.0,
,2.0,,1.0,,,,,,12,,5.0,,2.0,,2.0,
,2.0,,1.0,,,,,,12,,5.0,,2.0,,2.0,
,2.0,,1.0,,,,,,12,,5.0,,2.0,,2.0,
,2,,1.0,,,,,,12,,5,,2,,2,
